"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-02-14","0.00","64",,"55"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-02-15","0.00","68","78","55"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-02-16","0.00","71",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-02-17",,"65",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-02-18","0.00","61",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-02-22","0.00","75",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-02-23","0.00","76","87","64"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-02-24",,"71",,"67"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-02-25","0.00","71",,"63"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-02-26","0.00","69",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-02-27","0.00","69","78",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-02","0.00","70",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-04","0.00","71","83","58"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-06","0.00","74","86","60"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-07","0.00","72",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-08","0.00","75",,"62"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-09","0.00","69",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-10","0.00","80","94",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-11","0.00","78","85",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-12",,"73","87",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-13","0.00","74",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-14","0.00","77",,"66"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-15","0.00","80","94","67"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-16","0.00","78","92","66"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-17","0.00","82","97","68"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-19",,"80",,"65"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-21","0.00","80","90","70"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-22","0.00","74",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-23","0.00","67","83","58"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-24",,"73","89","57"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-25","0.00","75","90","61"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-26","0.00","77",,"60"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-28","0.00","78","90",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-29","0.00","75","84","56"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-30","0.00","77","88",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-03-31","0.00","78","90","63"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-01","0.00","79","89","65"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-02","0.00","82","94",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-05","0.00","80","97",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-06","0.00","83",,"71"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-07",,"84","99","73"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-08","0.00","80","95","69"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-09","0.00","84","99","67"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-11",,"90","101","73"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-13","0.00","82","99",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-14","0.00","88","100","72"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-15","0.00","88","100",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-16",,"86",,"74"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-17","0.00","83",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-18","0.00","82",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-19",,"91",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-20","0.00","86","103","74"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-21","0.00","83","101",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-22","0.00","90","103",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-23",,"82",,"74"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-24",,"92","108","75"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-25","0.00","86","106","75"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-26","0.00","89","106","74"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-27","0.00","89",,"76"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-28","0.00","91","110","76"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-29","0.00","87",,"75"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-04-30","0.00","87","96","77"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-01","0.00","92","105",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-02","0.00","94","103",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-03","0.00","86",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-04","0.00","94","103",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-05","0.00","91","105","77"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-07","0.08","92",,"79"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-08","0.00","91","109","78"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-09","0.00","95","112",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-10","0.00","96","111",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-11","0.00","96","113",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-12","0.00","94","111",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-13",,"92",,"83"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-14","0.00","89","104","81"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-15","0.00","89","106","81"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-17","0.00","91",,"80"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-18","0.00","91",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-19","0.00","91","105",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-21","0.00","88","104","78"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-22",,"91","104","77"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-23","0.00","89",,
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-24","0.00","88","100","78"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-25",,"89","100","77"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-26","0.00","88","100","81"
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-27","0.00","90","103",
"PKM00041764","HYDERABAD AIRPORT, PK","1990-05-28","0.00","91","100",
